parent_changed_lines,parent_used_lines,parent_changed_used_lines,parent_methods_used_lines,parent_methods_changed_used_lines,parent_methods_count,parent_lines_hunks,parent_used_lines_hunks,used_added_lines+used_removed_lines,used_added_lines-used_removed_lines,parent_Invocation,parent_WhileStatement,parent_Expression,parent_Member,parent_TypeArgument,parent_TypeDeclaration,parent_ThrowStatement,parent_BreakStatement,parent_SwitchStatement,parent_LocalVariableDeclaration,parent_AnnotationDeclaration,parent_InnerClassCreator,parent_ArraySelector,parent_ForStatement,parent_InferredFormalParameter,parent_MemberReference,parent_ElementArrayValue,parent_InterfaceDeclaration,parent_AnnotationMethod,parent_ExplicitConstructorInvocation,parent_CatchClauseParameter,parent_BlockStatement,parent_FieldDeclaration,parent_TypeParameter,parent_Declaration,parent_ArrayCreator,parent_EnhancedForControl,parent_ContinueStatement,parent_TryResource,parent_Creator,parent_VariableDeclarator,parent_ReferenceType,parent_EnumBody,parent_MethodReference,parent_CatchClause,parent_BinaryOperation,parent_ArrayInitializer,parent_Type,parent_MethodInvocation,parent_Assignment,parent_StatementExpression,parent_ConstantDeclaration,parent_Annotation,parent_PackageDeclaration,parent_IfStatement,parent_SwitchStatementCase,parent_ClassReference,parent_FormalParameter,parent_EnumDeclaration,parent_CompilationUnit,parent_EnumConstantDeclaration,parent_VoidClassReference,parent_TryStatement,parent_Primary,parent_SuperConstructorInvocation,parent_VariableDeclaration,parent_BasicType,parent_SuperMethodInvocation,parent_Cast,parent_ReturnStatement,parent_ElementValuePair,parent_ClassCreator,parent_Literal,parent_ForControl,parent_TernaryExpression,parent_MethodDeclaration,parent_Import,parent_Documented,parent_Statement,parent_This,parent_AssertStatement,parent_ConstructorDeclaration,parent_SuperMemberReference,parent_LambdaExpression,parent_SynchronizedStatement,parent_DoStatement,parent_ClassDeclaration,delta_Invocation,delta_WhileStatement,delta_Expression,delta_Member,delta_TypeArgument,delta_TypeDeclaration,delta_ThrowStatement,delta_BreakStatement,delta_SwitchStatement,delta_LocalVariableDeclaration,delta_AnnotationDeclaration,delta_InnerClassCreator,delta_ArraySelector,delta_ForStatement,delta_InferredFormalParameter,delta_MemberReference,delta_ElementArrayValue,delta_InterfaceDeclaration,delta_AnnotationMethod,delta_ExplicitConstructorInvocation,delta_CatchClauseParameter,delta_BlockStatement,delta_FieldDeclaration,delta_TypeParameter,delta_Declaration,delta_ArrayCreator,delta_EnhancedForControl,delta_ContinueStatement,delta_TryResource,delta_Creator,delta_VariableDeclarator,delta_ReferenceType,delta_EnumBody,delta_MethodReference,delta_CatchClause,delta_BinaryOperation,delta_ArrayInitializer,delta_Type,delta_MethodInvocation,delta_Assignment,delta_StatementExpression,delta_ConstantDeclaration,delta_Annotation,delta_PackageDeclaration,delta_IfStatement,delta_SwitchStatementCase,delta_ClassReference,delta_FormalParameter,delta_EnumDeclaration,delta_CompilationUnit,delta_EnumConstantDeclaration,delta_VoidClassReference,delta_TryStatement,delta_Primary,delta_SuperConstructorInvocation,delta_VariableDeclaration,delta_BasicType,delta_SuperMethodInvocation,delta_Cast,delta_ReturnStatement,delta_ElementValuePair,delta_ClassCreator,delta_Literal,delta_ForControl,delta_TernaryExpression,delta_MethodDeclaration,delta_Import,delta_Documented,delta_Statement,delta_This,delta_AssertStatement,delta_ConstructorDeclaration,delta_SuperMemberReference,delta_LambdaExpression,delta_SynchronizedStatement,delta_DoStatement,delta_ClassDeclaration,ast_diff_condBlockOthersAdd,ast_diff_condBlockRetAdd,ast_diff_condBlockExcAdd,ast_diff_condBlockRem,ast_diff_expLogicExpand,ast_diff_expLogicReduce,ast_diff_expLogicMod,ast_diff_expArithMod,ast_diff_wrapsIf,ast_diff_wrapsIfElse,ast_diff_wrapsElse,ast_diff_wrapsTryCatch,ast_diff_wrapsMethod,ast_diff_wrapsLoop,ast_diff_unwrapIfElse,ast_diff_unwrapMethod,ast_diff_unwrapTryCatch,ast_diff_wrongVarRef,ast_diff_wrongMethodRef,ast_diff_missNullCheckP,ast_diff_missNullCheckN,ast_diff_singleLine,ast_diff_copyPaste,ast_diff_constChange,ast_diff_codeMove,ast_diff_notClassified,ast_diff_binOperatorModif,ast_diff_addassignment,ast_diff_assignAdd,ast_diff_assignRem,ast_diff_assignExpChange,ast_diff_condBranIfAdd,ast_diff_condBranIfElseAdd,ast_diff_condBranElseAdd,ast_diff_condBranCaseAdd,ast_diff_condBranRem,ast_diff_condExpExpand,ast_diff_condExpRed,ast_diff_condExpMod,ast_diff_loopAdd,ast_diff_loopRem,ast_diff_loopCondChange,ast_diff_loopInitChange,ast_diff_mcAdd,ast_diff_mcRem,ast_diff_mcRepl,ast_diff_mcMove,ast_diff_mcParAdd,ast_diff_mcParRem,ast_diff_mcParSwap,ast_diff_mcParValChange,ast_diff_mdAdd,ast_diff_mdRem,ast_diff_mdRen,ast_diff_mdParAdd,ast_diff_mdParRem,ast_diff_mdParTyChange,ast_diff_mdRetTyChange,ast_diff_mdModChange,ast_diff_mdOverride,ast_diff_objInstAdd,ast_diff_objInstRem,ast_diff_objInstMod,ast_diff_exTryCatchAdd,ast_diff_exTryCatchRem,ast_diff_exThrowsAdd,ast_diff_exThrowsRem,ast_diff_retBranchAdd,ast_diff_retRem,ast_diff_retExpChange,ast_diff_varAdd,ast_diff_varRem,ast_diff_varTyChange,ast_diff_varModChange,ast_diff_varReplVar,ast_diff_varReplMc,ast_diff_tyAdd,ast_diff_tyImpInterf,parent_LOC,delta_LOC,parent_CLOC,delta_CLOC,parent_LLOC,delta_LLOC,parent_LDC,delta_LDC,parent_NOS,delta_NOS,parent_TLLOC,delta_TLLOC,parent_NLE,delta_NLE,parent_NOI,delta_NOI,parent_NUMPAR,delta_NUMPAR,parent_LLDC,delta_LLDC,parent_NII,delta_NII,parent_NL,delta_NL,parent_TLOC,delta_TLOC,parent_CLLC,delta_CLLC,parent_TCLOC,delta_TCLOC,parent_DLOC,delta_DLOC,parent_NLM,delta_NLM,parent_NPA,delta_NPA,parent_TNLPM,delta_TNLPM,parent_TNLA,delta_TNLA,parent_NLA,delta_NLA,parent_TNLPA,delta_TNLPA,parent_NM,delta_NM,parent_TNG,delta_TNG,parent_NLPM,delta_NLPM,parent_TNM,delta_TNM,parent_NLS,delta_NLS,parent_NG,delta_NG,parent_TNLG,delta_TNLG,parent_RFC,delta_RFC,parent_NLG,delta_NLG,parent_TNLS,delta_TNLS,parent_TNA,delta_TNA,parent_NLPA,delta_NLPA,parent_NPM,delta_NPM,parent_TNPM,delta_TNPM,parent_TNS,delta_TNS,parent_NA,delta_NA,parent_NS,delta_NS,parent_TNLM,delta_TNLM,parent_TNPA,delta_TNPA,commit insert bug?,ID
2,176,2,149,2,5,2,2,5,1,0,3,0,0,0,0,0,1,0,39,0,0,0,0,0,84,0,0,0,0,0,7,0,0,0,4,0,0,0,0,31,0,0,0,4,25,0,0,88,14,42,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,3,0,3,0,13,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,1.0,22.0,0.0,164.0,1.0,0.0,0.0,97.0,0.0,164.0,1.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,234.0,1.0,0.0,0.0,22.0,0.0,20.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,11.0,0.0,11.0,0.0,5.0,0.0,5.0,0.0,3.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,11.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,1,a23931df5437a24d001c4bbb8d7f549ccef57ef1_RCSFileProvider.java
1,68,1,52,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,50,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,20,0,0,9,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,18,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,81.0,0.0,66.0,0.0,53.0,0.0,28.0,0.0,66.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,152.0,0.0,0.0,0.0,81.0,0.0,81.0,0.0,5.0,0.0,6.0,0.0,4.0,0.0,8.0,0.0,8.0,0.0,6.0,0.0,5.0,0.0,1.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,0,45cab505c028dd11a3cc5e3d9082c150364aa0f5_Release.java
39,424,39,378,36,20,13,13,51,-27,0,1,0,0,0,0,1,0,0,51,0,0,9,6,0,174,0,0,0,0,0,39,0,0,0,4,0,0,0,0,49,0,0,0,1,83,31,0,125,23,51,0,0,0,37,0,0,0,0,0,0,0,6,0,1,6,0,0,7,25,0,4,166,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-3,0,0,0,1,0,-4,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,-2,0,0,0,-1,-6,0,0,-8,-2,-3,0,0,0,-2,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,-1,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,2.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,805.0,-34.0,294.0,0.0,404.0,-26.0,0.0,0.0,188.0,-10.0,404.0,-26.0,4.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,805.0,-34.0,0.0,0.0,294.0,0.0,270.0,0.0,20.0,0.0,16.0,-1.0,14.0,0.0,18.0,-1.0,18.0,-1.0,16.0,-1.0,20.0,0.0,5.0,0.0,14.0,0.0,20.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,20.0,0.0,5.0,0.0,0.0,0.0,18.0,-1.0,16.0,-1.0,14.0,0.0,14.0,0.0,0.0,0.0,18.0,-1.0,0.0,0.0,20.0,0.0,16.0,-1.0,0,45cab505c028dd11a3cc5e3d9082c150364aa0f5_TemplateManager.java
1,68,1,52,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,50,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,20,0,0,9,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,18,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,81.0,0.0,66.0,0.0,53.0,0.0,28.0,0.0,66.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,152.0,0.0,0.0,0.0,81.0,0.0,81.0,0.0,5.0,0.0,6.0,0.0,4.0,0.0,8.0,0.0,8.0,0.0,6.0,0.0,5.0,0.0,1.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,0,a354aa66be59bca56c8200cf9eafbb1fd2bb53aa_Release.java
1,68,1,52,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,50,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,20,0,0,9,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,18,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,81.0,0.0,66.0,0.0,53.0,0.0,28.0,0.0,66.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,152.0,0.0,0.0,0.0,81.0,0.0,81.0,0.0,5.0,0.0,6.0,0.0,4.0,0.0,8.0,0.0,8.0,0.0,6.0,0.0,5.0,0.0,1.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,0,bc1dec60d66d049ebb30a611f1fcfbce3e0fcd7d_Release.java
0,88,0,70,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,23,0,0,25,5,18,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,2.0,33.0,1.0,86.0,1.0,0.0,0.0,34.0,1.0,86.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,133.0,2.0,0.0,0.0,33.0,1.0,29.0,0.0,4.0,0.0,10.0,0.0,3.0,0.0,13.0,0.0,13.0,0.0,10.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,10.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,0,b2fabd2984672569ec36febde815782d4456fa4d_UtilJ2eeCompat.java
5,548,5,532,1,29,2,2,8,-2,0,2,0,0,0,0,8,0,0,68,0,0,8,5,0,244,0,0,0,0,0,28,0,0,0,2,1,0,0,0,66,0,0,0,23,60,1,0,165,33,107,0,0,0,20,0,0,0,0,0,0,0,17,0,2,4,0,0,10,21,0,37,112,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,739.0,3.0,116.0,1.0,515.0,1.0,0.0,0.0,231.0,0.0,585.0,1.0,6.0,0.0,5.0,0.0,24.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,829.0,3.0,0.0,0.0,125.0,1.0,85.0,1.0,22.0,0.0,3.0,1.0,18.0,0.0,34.0,1.0,26.0,1.0,3.0,1.0,22.0,0.0,12.0,0.0,12.0,0.0,29.0,0.0,0.0,0.0,9.0,0.0,12.0,0.0,27.0,0.0,9.0,0.0,0.0,0.0,34.0,1.0,3.0,1.0,12.0,0.0,18.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,29.0,0.0,3.0,1.0,0,0f8f4a121e49ecde4389f1fe24703ce62acfd8c2_LuceneSearchProvider.java
0,186,0,155,0,14,0,0,8,8,0,1,0,0,0,0,2,0,0,16,0,0,0,1,0,62,0,0,0,0,0,15,0,0,0,1,1,0,0,0,14,0,0,0,0,18,0,0,53,6,28,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,25,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.0,9.0,123.0,0.0,169.0,7.0,0.0,0.0,71.0,0.0,169.0,7.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,317.0,9.0,0.0,0.0,123.0,0.0,116.0,0.0,16.0,0.0,0.0,0.0,13.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,13.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0,2155dae7302381b9f272dac287298bbc24d697d0_SessionMonitor.java
1,83,1,59,0,7,1,1,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,23,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,11,0,0,16,6,11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,3,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,48.0,0.0,73.0,0.0,0.0,0.0,27.0,0.0,73.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,135.0,0.0,0.0,0.0,48.0,0.0,44.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,7.0,0.0,7.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,7.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0,14137ebd473feef6cb1c414a580661d823ed66d8_MessageActionBean.java
0,79,0,55,0,6,0,0,4,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,23,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,11,0,0,15,6,11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,3,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,11.0,42.0,6.0,69.0,4.0,0.0,0.0,26.0,1.0,69.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,124.0,11.0,0.0,0.0,42.0,6.0,38.0,6.0,6.0,1.0,0.0,0.0,6.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,6.0,1.0,3.0,1.0,6.0,1.0,6.0,1.0,1.0,0.0,3.0,1.0,3.0,1.0,6.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,6.0,1.0,6.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0,1d10ae72d91c16cab5aa40cac15fb7b58f9abee4_MessageActionBean.java
